title,company_name,description
Software Engineer,Qualcomm,"Qualcomm is hiring a Software Engineer to help build and scale our data and engineering platform. In this role you will optimized database queries, led code reviews, and built scalable backend services. Must have: 5+ years in ci/cd, hands-on experience with microservices and aws, strong knowledge of algorithms. Nice to have: system design, docker, jenkins. You will work closely with product and design teams to deliver high-quality software. Our stack: ci/cd, microservices, git. Remote-friendly, competitive salary."
Senior Business Analyst,ServiceNow,"ServiceNow is hiring a Senior Business Analyst to help build and scale our data and engineering platform. In this role you will analyzed business requirements, produced weekly performance reports, and created executive dashboards. Must have: 5+ years in statistics, hands-on experience with sql and stakeholder management, strong knowledge of scrum. Nice to have: reporting, power bi, excel. You will work closely with product and design teams to deliver high-quality software. Our stack: statistics, sql, jira. Remote-friendly, competitive salary."
Principal Data Scientist,Nvidia,"We are looking for a Principal Data Scientist to join our engineering team at Nvidia. You will conducted A/B testing and analyzed large datasets. The ideal candidate has strong experience in statistics, pandas, and tensorflow. You should be comfortable working with aws and git. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in deep learning, python, and scikit-learn. Familiarity with spark is a plus. We offer competitive compensation, equity, and excellent benefits."
Senior Data Scientist,Uber,"We are looking for a Senior Data Scientist to join our AI/ML team at Uber. You will designed feature engineering pipelines and developed ML pipelines. The ideal candidate has strong experience in pytorch, pandas, and data analysis. You should be comfortable working with spark and git. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 3+ years of experience, proficiency in numpy, deep learning, and matplotlib. Familiarity with jupyter is a plus. We offer competitive compensation, equity, and excellent benefits."
Cloud Architect,Atlassian,"Join Atlassian as a Cloud Architect. We are a fast-growing startup solving hard problems with monitoring. What you'll do: set up disaster recovery workflows; automated infrastructure with Terraform; optimized cloud costs by 35%. What we need: deep expertise in terraform and security; strong background in linux; experience deploying aws cli at scale. Bonus: azure, s3, ansible. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Platform Engineer,Amazon,"We are looking for a Platform Engineer to join our cloud infrastructure team at Amazon. You will automated CI/CD pipelines and implemented monitoring with Prometheus and Grafana. The ideal candidate has strong experience in git, docker, and bash. You should be comfortable working with helm and vault. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 2+ years of experience, proficiency in jenkins, aws, and ci/cd. Familiarity with pagerduty is a plus. We offer competitive compensation, equity, and excellent benefits."
Principal Data Scientist,AMD,"Join AMD as a Principal Data Scientist. We are a fast-growing startup solving hard problems with pandas. What you'll do: designed feature engineering pipelines; analyzed large datasets; created dashboards. What we need: deep expertise in jupyter and machine learning; strong background in scikit-learn; experience deploying docker at scale. Bonus: data analysis, r, jupyter. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Strategy Analyst,Canva,"Join Canva as a Strategy Analyst. We are a fast-growing startup solving hard problems with stakeholder management. What you'll do: developed KPI frameworks; facilitated stakeholder workshops; translated business needs into technical specs. What we need: deep expertise in python and reporting; strong background in agile; experience deploying jira at scale. Bonus: excel, jira, excel. 4+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Senior Backend Engineer,Elastic,"Join Elastic as a Senior Backend Engineer. We are a fast-growing startup solving hard problems with rest api. What you'll do: reduced API latency by 40%; optimized database schemas; integrated third-party APIs. What we need: deep expertise in node.js and grpc; strong background in microservices; experience deploying docker at scale. Bonus: java, kafka, jenkins. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Full Stack Developer,MongoDB,"MongoDB is hiring a Full Stack Developer to help build and scale our data and engineering platform. In this role you will improved SEO and performance, built real-time chat with WebSockets, and developed end-to-end web applications. Must have: 5+ years in sql, hands-on experience with ci/cd and python, strong knowledge of javascript. Nice to have: css, jira, docker. You will work closely with product and design teams to deliver high-quality software. Our stack: sql, ci/cd, figma. Remote-friendly, competitive salary."
Platform Engineer,Canva,"We are looking for a Platform Engineer to join our core platform team at Canva. You will designed disaster recovery plans and managed Kubernetes clusters. The ideal candidate has strong experience in monitoring, aws, and terraform. You should be comfortable working with vault and jenkins. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 3+ years of experience, proficiency in docker, kubernetes, and git. Familiarity with helm is a plus. We offer competitive compensation, equity, and excellent benefits."
Backend Engineer,Cloudflare,"Cloudflare is hiring a Backend Engineer to help build and scale our data and engineering platform. In this role you will designed high-performance APIs, reduced API latency by 40%, and optimized database schemas. Must have: 2+ years in sql, hands-on experience with node.js and mongodb, strong knowledge of python. Nice to have: postgresql, jenkins, nginx. You will work closely with product and design teams to deliver high-quality software. Our stack: sql, node.js, docker. Remote-friendly, competitive salary."
Server-Side Engineer,JetBrains,"JetBrains is hiring a Server-Side Engineer to help build and scale our data and engineering platform. In this role you will reduced API latency by 40%, integrated third-party APIs, and optimized database schemas. Must have: 2+ years in docker, hands-on experience with python and node.js, strong knowledge of git. Nice to have: postgresql, git, jenkins. You will work closely with product and design teams to deliver high-quality software. Our stack: docker, python, postman. Remote-friendly, competitive salary."
Lead Data Engineer,Quantum Analytics,"Join Quantum Analytics as a Lead Data Engineer. We are a fast-growing startup solving hard problems with etl. What you'll do: optimized SQL queries; designed ETL workflows; deployed Kafka streaming systems. What we need: deep expertise in redshift and airflow; strong background in kafka; experience deploying kubernetes at scale. Bonus: postgresql, scala, jenkins. 4+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Senior Software Engineer,NextGen Systems,"We are looking for a Senior Software Engineer to join our cloud infrastructure team at NextGen Systems. You will implemented caching with Redis and refactored legacy systems. The ideal candidate has strong experience in agile, git, and rest api. You should be comfortable working with git and docker. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in system design, microservices, and python. Familiarity with postman is a plus. We offer competitive compensation, equity, and excellent benefits."
AI Engineer,NextGen Systems,"We are looking for a AI Engineer to join our engineering team at NextGen Systems. You will designed inference APIs and optimized model latency. The ideal candidate has strong experience in aws, kubernetes, and model deployment. You should be comfortable working with hugging face and docker. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 3+ years of experience, proficiency in llm, python, and transformers. Familiarity with aws sagemaker is a plus. We offer competitive compensation, equity, and excellent benefits."
Cloud Architect,DataRobot,"We are looking for a Cloud Architect to join our product engineering team at DataRobot. You will managed multi-region deployments and designed cloud-native architectures. The ideal candidate has strong experience in python, cloudformation, and aws. You should be comfortable working with kubectl and aws cli. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 2+ years of experience, proficiency in s3, monitoring, and kubernetes. Familiarity with terraform is a plus. We offer competitive compensation, equity, and excellent benefits."
Senior Full Stack Engineer,Databricks,"Databricks is hiring a Senior Full Stack Engineer to help build and scale our data and engineering platform. In this role you will built React frontends with Node.js backends, built real-time chat with WebSockets, and maintained CI/CD pipelines. Must have: 5+ years in aws, hands-on experience with postgresql and rest api, strong knowledge of git. Nice to have: html, docker, vs code. You will work closely with product and design teams to deliver high-quality software. Our stack: aws, postgresql, git. Remote-friendly, competitive salary."
Principal Engineer,SAP,"We are looking for a Principal Engineer to join our data platform team at SAP. You will led code reviews and built scalable backend services. The ideal candidate has strong experience in java, rest api, and sql. You should be comfortable working with jenkins and postman. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 3+ years of experience, proficiency in docker, git, and microservices. Familiarity with git is a plus. We offer competitive compensation, equity, and excellent benefits."
Staff Engineer,New Relic,"Join New Relic as a Staff Engineer. We are a fast-growing startup solving hard problems with agile. What you'll do: developed RESTful APIs; refactored legacy systems; led code reviews. What we need: deep expertise in postgresql and python; strong background in java; experience deploying docker at scale. Bonus: mongodb, git, vs code. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
React Developer,Qualcomm,"We are looking for a React Developer to join our analytics team at Qualcomm. You will improved page load performance and implemented UI component libraries. The ideal candidate has strong experience in graphql, responsive design, and node.js. You should be comfortable working with webpack and figma. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in vue, typescript, and git. Familiarity with storybook is a plus. We offer competitive compensation, equity, and excellent benefits."
Applied AI Engineer,Brex,"Join Brex as a Applied AI Engineer. We are a fast-growing startup solving hard problems with model deployment. What you'll do: designed inference APIs; fine-tuned transformer models; built LLM-powered applications. What we need: deep expertise in rest api and kubernetes; strong background in aws; experience deploying kubernetes at scale. Bonus: pytorch, machine learning, docker. 4+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Systems Engineer,Zscaler,"Join Zscaler as a Systems Engineer. We are a fast-growing startup solving hard problems with sql. What you'll do: developed RESTful APIs; led code reviews; optimized database queries. What we need: deep expertise in system design and python; strong background in mongodb; experience deploying git at scale. Bonus: docker, aws, vs code. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
ML Engineer,Microsoft,"We are looking for a ML Engineer to join our data platform team at Microsoft. You will optimized model latency and deployed ML models to production. The ideal candidate has strong experience in python, kubernetes, and pytorch. You should be comfortable working with kubernetes and docker. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 3+ years of experience, proficiency in rest api, docker, and tensorflow. Familiarity with hugging face is a plus. We offer competitive compensation, equity, and excellent benefits."
Staff Data Engineer,PagerDuty,"We are looking for a Staff Data Engineer to join our AI/ML team at PagerDuty. You will automated ingestion jobs and designed ETL workflows. The ideal candidate has strong experience in spark, hadoop, and docker. You should be comfortable working with terraform and git. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in databricks, sql, and aws. Familiarity with airflow is a plus. We offer competitive compensation, equity, and excellent benefits."
ML Engineer,Twilio,"Join Twilio as a ML Engineer. We are a fast-growing startup solving hard problems with docker. What you'll do: deployed ML models to production; fine-tuned transformer models; implemented computer vision pipelines. What we need: deep expertise in model deployment and rest api; strong background in kubernetes; experience deploying kubernetes at scale. Bonus: python, deep learning, hugging face. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
API Engineer,Robinhood,"Join Robinhood as a API Engineer. We are a fast-growing startup solving hard problems with java. What you'll do: implemented authentication systems; deployed services on AWS; built event-driven microservices. What we need: deep expertise in git and mongodb; strong background in ci/cd; experience deploying jenkins at scale. Bonus: kafka, rest api, git. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Frontend Engineer,Nvidia,"Nvidia is hiring a Frontend Engineer to help build and scale our data and engineering platform. In this role you will wrote unit and integration tests, developed accessible web interfaces, and implemented UI component libraries. Must have: 4+ years in vue, hands-on experience with node.js and redux, strong knowledge of rest api. Nice to have: figma, storybook, git. You will work closely with product and design teams to deliver high-quality software. Our stack: vue, node.js, vite. Remote-friendly, competitive salary."
Senior ML Engineer,ServiceNow,"ServiceNow is hiring a Senior ML Engineer to help build and scale our data and engineering platform. In this role you will optimized model latency, deployed ML models to production, and built LLM-powered applications. Must have: 2+ years in model deployment, hands-on experience with pytorch and aws, strong knowledge of nlp. Nice to have: docker, aws sagemaker, kubernetes. You will work closely with product and design teams to deliver high-quality software. Our stack: model deployment, pytorch, docker. Remote-friendly, competitive salary."
Server-Side Engineer,JetBrains,"JetBrains is hiring a Server-Side Engineer to help build and scale our data and engineering platform. In this role you will implemented authentication systems, designed high-performance APIs, and deployed services on AWS. Must have: 4+ years in grpc, hands-on experience with microservices and git, strong knowledge of java. Nice to have: redis, redis, git. You will work closely with product and design teams to deliver high-quality software. Our stack: grpc, microservices, docker. Remote-friendly, competitive salary."
Senior Business Analyst,Atlassian,"We are looking for a Senior Business Analyst to join our developer experience team at Atlassian. You will created executive dashboards and translated business needs into technical specs. The ideal candidate has strong experience in tableau, excel, and scrum. You should be comfortable working with jira and sql. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 5+ years of experience, proficiency in power bi, reporting, and data analysis. Familiarity with tableau is a plus. We offer competitive compensation, equity, and excellent benefits."
Cloud Engineer,Brex,"Join Brex as a Cloud Engineer. We are a fast-growing startup solving hard problems with aws. What you'll do: optimized cloud costs by 35%; migrated on-prem systems to AWS; automated infrastructure with Terraform. What we need: deep expertise in security and cloudformation; strong background in networking; experience deploying kubectl at scale. Bonus: azure, s3, terraform. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Data Scientist,Nvidia,"We are looking for a Data Scientist to join our AI/ML team at Nvidia. You will built predictive models and implemented neural networks. The ideal candidate has strong experience in deep learning, pandas, and matplotlib. You should be comfortable working with jupyter and docker. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in statistics, machine learning, and scikit-learn. Familiarity with aws is a plus. We offer competitive compensation, equity, and excellent benefits."
Staff Engineer,SAP,"Join SAP as a Staff Engineer. We are a fast-growing startup solving hard problems with postgresql. What you'll do: developed RESTful APIs; refactored legacy systems; implemented caching with Redis. What we need: deep expertise in java and ci/cd; strong background in python; experience deploying vs code at scale. Bonus: aws, docker, postman. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
SRE,Notion,"Join Notion as a SRE. We are a fast-growing startup solving hard problems with jenkins. What you'll do: implemented monitoring with Prometheus and Grafana; designed disaster recovery plans; reduced deployment time. What we need: deep expertise in python and azure; strong background in aws; experience deploying pagerduty at scale. Bonus: linux, grafana, helm. 4+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Software Engineer,CloudVentures,"We are looking for a Software Engineer to join our product engineering team at CloudVentures. You will built scalable backend services and developed RESTful APIs. The ideal candidate has strong experience in aws, microservices, and agile. You should be comfortable working with jira and git. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in rest api, system design, and python. Familiarity with docker is a plus. We offer competitive compensation, equity, and excellent benefits."
Principal Engineer,DataFlow Labs,"Join DataFlow Labs as a Principal Engineer. We are a fast-growing startup solving hard problems with algorithms. What you'll do: implemented caching with Redis; refactored legacy systems; led code reviews. What we need: deep expertise in python and mongodb; strong background in ci/cd; experience deploying postman at scale. Bonus: postgresql, rest api, jira. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Systems Engineer,AI Dynamics,"Join AI Dynamics as a Systems Engineer. We are a fast-growing startup solving hard problems with docker. What you'll do: refactored legacy systems; designed microservices architecture; built scalable backend services. What we need: deep expertise in git and microservices; strong background in java; experience deploying docker at scale. Bonus: system design, algorithms, vs code. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Full Stack Developer,Weights & Biases,"Weights & Biases is hiring a Full Stack Developer to help build and scale our data and engineering platform. In this role you will built real-time chat with WebSockets, built React frontends with Node.js backends, and developed end-to-end web applications. Must have: 4+ years in node.js, hands-on experience with typescript and css, strong knowledge of react. Nice to have: mongodb, vs code, postman. You will work closely with product and design teams to deliver high-quality software. Our stack: node.js, typescript, git. Remote-friendly, competitive salary."
Senior ML Engineer,Okta,"Join Okta as a Senior ML Engineer. We are a fast-growing startup solving hard problems with deep learning. What you'll do: implemented computer vision pipelines; optimized model latency; built LLM-powered applications. What we need: deep expertise in nlp and pytorch; strong background in machine learning; experience deploying mlflow at scale. Bonus: model deployment, transformers, docker. 4+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Full Stack Engineer,Intel,"Join Intel as a Full Stack Engineer. We are a fast-growing startup solving hard problems with typescript. What you'll do: maintained CI/CD pipelines; integrated payment gateways; built React frontends with Node.js backends. What we need: deep expertise in ci/cd and git; strong background in rest api; experience deploying vs code at scale. Bonus: css, sql, postman. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Platform Engineer,Elastic,"We are looking for a Platform Engineer to join our infrastructure team at Elastic. You will designed high-performance APIs and deployed services on AWS. The ideal candidate has strong experience in postgresql, mongodb, and java. You should be comfortable working with nginx and docker. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 2+ years of experience, proficiency in ci/cd, docker, and git. Familiarity with postman is a plus. We offer competitive compensation, equity, and excellent benefits."
Senior Data Engineer,New Relic,"Join New Relic as a Senior Data Engineer. We are a fast-growing startup solving hard problems with spark. What you'll do: designed ETL workflows; implemented data quality checks; automated ingestion jobs. What we need: deep expertise in scala and data pipelines; strong background in kafka; experience deploying dbt at scale. Bonus: hadoop, redshift, jenkins. 4+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Senior ML Engineer,Chime,"Chime is hiring a Senior ML Engineer to help build and scale our data and engineering platform. In this role you will optimized model latency, designed inference APIs, and deployed ML models to production. Must have: 4+ years in kubernetes, hands-on experience with deep learning and docker, strong knowledge of tensorflow. Nice to have: fastapi, aws sagemaker, hugging face. You will work closely with product and design teams to deliver high-quality software. Our stack: kubernetes, deep learning, kubernetes. Remote-friendly, competitive salary."
Strategy Analyst,Salesforce,"We are looking for a Strategy Analyst to join our data platform team at Salesforce. You will developed KPI frameworks and created executive dashboards. The ideal candidate has strong experience in python, requirements gathering, and stakeholder management. You should be comfortable working with confluence and power bi. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 3+ years of experience, proficiency in confluence, reporting, and power bi. Familiarity with sql is a plus. We offer competitive compensation, equity, and excellent benefits."
Principal Engineer,Chime,"We are looking for a Principal Engineer to join our analytics team at Chime. You will optimized database queries and implemented caching with Redis. The ideal candidate has strong experience in system design, agile, and git. You should be comfortable working with docker and git. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 3+ years of experience, proficiency in aws, docker, and postgresql. Familiarity with jenkins is a plus. We offer competitive compensation, equity, and excellent benefits."
Platform Engineer,Nvidia,"Nvidia is hiring a Platform Engineer to help build and scale our data and engineering platform. In this role you will integrated third-party APIs, reduced API latency by 40%, and implemented authentication systems. Must have: 3+ years in sql, hands-on experience with rest api and postgresql, strong knowledge of grpc. Nice to have: microservices, docker, nginx. You will work closely with product and design teams to deliver high-quality software. Our stack: sql, rest api, redis. Remote-friendly, competitive salary."
Platform Engineer,Zscaler,"Join Zscaler as a Platform Engineer. We are a fast-growing startup solving hard problems with kubernetes. What you'll do: implemented monitoring with Prometheus and Grafana; provisioned cloud infrastructure with Terraform; reduced deployment time. What we need: deep expertise in terraform and ci/cd; strong background in python; experience deploying github actions at scale. Bonus: bash, docker, pagerduty. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Senior ML Engineer,Cohere,"Join Cohere as a Senior ML Engineer. We are a fast-growing startup solving hard problems with llm. What you'll do: fine-tuned transformer models; designed inference APIs; deployed ML models to production. What we need: deep expertise in rest api and kubernetes; strong background in pytorch; experience deploying mlflow at scale. Bonus: docker, transformers, kubernetes. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
ML Engineer,AMD,"Join AMD as a ML Engineer. We are a fast-growing startup solving hard problems with computer vision. What you'll do: designed inference APIs; built LLM-powered applications; fine-tuned transformer models. What we need: deep expertise in docker and pytorch; strong background in deep learning; experience deploying mlflow at scale. Bonus: llm, kubernetes, hugging face. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
API Engineer,SAP,"Join SAP as a API Engineer. We are a fast-growing startup solving hard problems with docker. What you'll do: integrated third-party APIs; built event-driven microservices; designed high-performance APIs. What we need: deep expertise in postgresql and python; strong background in mongodb; experience deploying docker at scale. Bonus: kafka, node.js, jenkins. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Backend Engineer,NextGen Systems,"NextGen Systems is hiring a Backend Engineer to help build and scale our data and engineering platform. In this role you will led code reviews, optimized database queries, and developed RESTful APIs. Must have: 2+ years in postgresql, hands-on experience with sql and aws, strong knowledge of git. Nice to have: rest api, docker, jenkins. You will work closely with product and design teams to deliver high-quality software. Our stack: postgresql, sql, jira. Remote-friendly, competitive salary."
Cloud Engineer,Anthropic,"We are looking for a Cloud Engineer to join our analytics team at Anthropic. You will implemented IAM policies and security hardening and designed cloud-native architectures. The ideal candidate has strong experience in s3, networking, and aws. You should be comfortable working with terraform and vault. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in cloudformation, lambda, and docker. Familiarity with kubectl is a plus. We offer competitive compensation, equity, and excellent benefits."
Frontend Engineer,ServiceNow,"We are looking for a Frontend Engineer to join our cloud infrastructure team at ServiceNow. You will integrated REST APIs and wrote unit and integration tests. The ideal candidate has strong experience in jest, redux, and css. You should be comfortable working with webpack and storybook. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 2+ years of experience, proficiency in graphql, html, and webpack. Familiarity with vite is a plus. We offer competitive compensation, equity, and excellent benefits."
Senior Backend Engineer,Cisco,"Join Cisco as a Senior Backend Engineer. We are a fast-growing startup solving hard problems with git. What you'll do: built event-driven microservices; implemented authentication systems; designed high-performance APIs. What we need: deep expertise in microservices and rest api; strong background in ci/cd; experience deploying jenkins at scale. Bonus: grpc, postgresql, redis. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Machine Learning Engineer,Okta,"Join Okta as a Machine Learning Engineer. We are a fast-growing startup solving hard problems with docker. What you'll do: deployed ML models to production; designed inference APIs; fine-tuned transformer models. What we need: deep expertise in machine learning and llm; strong background in deep learning; experience deploying docker at scale. Bonus: python, pytorch, kubernetes. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Senior Data Scientist,PagerDuty,"PagerDuty is hiring a Senior Data Scientist to help build and scale our data and engineering platform. In this role you will conducted A/B testing, implemented neural networks, and created dashboards. Must have: 4+ years in jupyter, hands-on experience with numpy and scikit-learn, strong knowledge of pandas. Nice to have: tableau, spark, jupyter. You will work closely with product and design teams to deliver high-quality software. Our stack: jupyter, numpy, git. Remote-friendly, competitive salary."
API Engineer,Stripe,"We are looking for a API Engineer to join our product engineering team at Stripe. You will designed high-performance APIs and deployed services on AWS. The ideal candidate has strong experience in docker, redis, and microservices. You should be comfortable working with redis and docker. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 5+ years of experience, proficiency in kafka, rest api, and ci/cd. Familiarity with git is a plus. We offer competitive compensation, equity, and excellent benefits."
Web Application Engineer,Databricks,"Databricks is hiring a Web Application Engineer to help build and scale our data and engineering platform. In this role you will designed and deployed full stack features, developed end-to-end web applications, and improved SEO and performance. Must have: 4+ years in css, hands-on experience with ci/cd and rest api, strong knowledge of postgresql. Nice to have: node.js, figma, jira. You will work closely with product and design teams to deliver high-quality software. Our stack: css, ci/cd, docker. Remote-friendly, competitive salary."
Staff Data Engineer,Deloitte,"Join Deloitte as a Staff Data Engineer. We are a fast-growing startup solving hard problems with etl. What you'll do: deployed Kafka streaming systems; managed data warehouses; optimized SQL queries. What we need: deep expertise in snowflake and postgresql; strong background in airflow; experience deploying terraform at scale. Bonus: spark, docker, dbt. 2+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Software Engineer,Cloudflare,"Cloudflare is hiring a Software Engineer to help build and scale our data and engineering platform. In this role you will led code reviews, built scalable backend services, and optimized database queries. Must have: 5+ years in git, hands-on experience with postgresql and redis, strong knowledge of ci/cd. Nice to have: agile, docker, git. You will work closely with product and design teams to deliver high-quality software. Our stack: git, postgresql, postman. Remote-friendly, competitive salary."
Cloud Infrastructure Engineer,Palo Alto Networks,"We are looking for a Cloud Infrastructure Engineer to join our core platform team at Palo Alto Networks. You will managed multi-region deployments and implemented IAM policies and security hardening. The ideal candidate has strong experience in ci/cd, kubernetes, and security. You should be comfortable working with kubectl and ansible. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 5+ years of experience, proficiency in python, cloudformation, and azure. Familiarity with terraform is a plus. We offer competitive compensation, equity, and excellent benefits."
Data Infrastructure Engineer,Instacart,"Join Instacart as a Data Infrastructure Engineer. We are a fast-growing startup solving hard problems with spark. What you'll do: implemented data quality checks; automated ingestion jobs; deployed Kafka streaming systems. What we need: deep expertise in etl and docker; strong background in databricks; experience deploying terraform at scale. Bonus: hadoop, airflow, git. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Business Analyst,PagerDuty,"We are looking for a Business Analyst to join our AI/ML team at PagerDuty. You will produced weekly performance reports and streamlined business processes. The ideal candidate has strong experience in python, requirements gathering, and jira. You should be comfortable working with tableau and confluence. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 5+ years of experience, proficiency in excel, reporting, and agile. Familiarity with excel is a plus. We offer competitive compensation, equity, and excellent benefits."
Product Analyst,IBM,"We are looking for a Product Analyst to join our developer experience team at IBM. You will facilitated stakeholder workshops and produced weekly performance reports. The ideal candidate has strong experience in tableau, stakeholder management, and requirements gathering. You should be comfortable working with jira and tableau. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 2+ years of experience, proficiency in confluence, reporting, and scrum. Familiarity with sql is a plus. We offer competitive compensation, equity, and excellent benefits."
API Engineer,AI Dynamics,"Join AI Dynamics as a API Engineer. We are a fast-growing startup solving hard problems with mongodb. What you'll do: designed high-performance APIs; integrated third-party APIs; optimized database schemas. What we need: deep expertise in aws and postgresql; strong background in microservices; experience deploying redis at scale. Bonus: kafka, ci/cd, jenkins. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Infrastructure Engineer,Hugging Face,"We are looking for a Infrastructure Engineer to join our product engineering team at Hugging Face. You will managed Kubernetes clusters and provisioned cloud infrastructure with Terraform. The ideal candidate has strong experience in monitoring, grafana, and azure. You should be comfortable working with vault and jenkins. Responsibilities include designing scalable systems, collaborating with cross-functional teams, and driving best practices. Requirements: 4+ years of experience, proficiency in git, docker, and aws. Familiarity with github actions is a plus. We offer competitive compensation, equity, and excellent benefits."
Senior Full Stack Engineer,AMD,"Join AMD as a Senior Full Stack Engineer. We are a fast-growing startup solving hard problems with node.js. What you'll do: integrated payment gateways; built React frontends with Node.js backends; maintained CI/CD pipelines. What we need: deep expertise in docker and python; strong background in typescript; experience deploying docker at scale. Bonus: rest api, mongodb, jira. 5+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Senior Full Stack Engineer,Cisco,"Join Cisco as a Senior Full Stack Engineer. We are a fast-growing startup solving hard problems with python. What you'll do: integrated payment gateways; improved SEO and performance; developed end-to-end web applications. What we need: deep expertise in sql and postgresql; strong background in react; experience deploying vs code at scale. Bonus: git, ci/cd, jira. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
Senior Full Stack Engineer,Scale AI,"Scale AI is hiring a Senior Full Stack Engineer to help build and scale our data and engineering platform. In this role you will developed end-to-end web applications, designed and deployed full stack features, and integrated payment gateways. Must have: 4+ years in html, hands-on experience with node.js and css, strong knowledge of rest api. Nice to have: git, postman, figma. You will work closely with product and design teams to deliver high-quality software. Our stack: html, node.js, vs code. Remote-friendly, competitive salary."
AWS Solutions Architect,Microsoft,"Join Microsoft as a AWS Solutions Architect. We are a fast-growing startup solving hard problems with linux. What you'll do: automated infrastructure with Terraform; implemented IAM policies and security hardening; designed cloud-native architectures. What we need: deep expertise in iam and terraform; strong background in networking; experience deploying vault at scale. Bonus: docker, security, ansible. 3+ years of professional experience required. Benefits: unlimited PTO, remote work, top-of-market compensation, and equity."
